freq,mag,db
40.3996,1.02065,0.177541
40.5996,1.01386,0.119591
40.7996,1.01383,0.119307
40.9996,1.01969,0.169402
41.1996,1.03188,0.272606
41.3996,1.04728,0.401238
41.5996,1.06159,0.51917
41.7996,1.07355,0.616452
41.9996,1.08039,0.671629
42.1996,1.07954,0.664767
42.3996,1.07288,0.611057
42.5996,1.06182,0.520997
42.7996,1.04746,0.402753
42.9996,1.03449,0.294525
43.1996,1.026,0.222981
43.3996,1.02257,0.193868
43.5996,1.02624,0.225007
43.7996,1.03663,0.312472
43.9996,1.04987,0.422711
44.1996,1.06397,0.538555
44.3996,1.0765,0.640313
44.5996,1.08317,0.693942
44.7996,1.08333,0.695205
44.9996,1.07806,0.652866
45.1996,1.06717,0.564658
45.3996,1.05376,0.45487
45.5996,1.04233,0.360077
45.7996,1.03433,0.293222
45.9996,1.03193,0.273002
46.1996,1.03713,0.316643
46.3996,1.04754,0.403392
46.5996,1.06035,0.508989
46.7996,1.07398,0.619937
46.9996,1.08429,0.702879
47.1996,1.08822,0.734343
47.3996,1.08653,0.720841
47.5996,1.07918,0.661891
47.7996,1.06718,0.564758
47.9996,1.05515,0.466302
48.1996,1.0461,0.391437
48.3996,1.04131,0.351568
48.5996,1.04339,0.368898
48.7996,1.0521,0.441118
48.9996,1.06387,0.537764
49.1996,1.07665,0.641478
49.3996,1.08786,0.731464
49.5995,1.09329,0.774738
49.7995,1.0923,0.766836
49.9995,1.08632,0.719162
50.1995,1.07574,0.634146
50.3995,1.06372,0.53655
50.5995,1.05493,0.464492
50.7995,1.05084,0.430753
50.9995,1.05243,0.443864
51.1995,1.06074,0.512206
51.3995,1.07283,0.610619
51.5995,1.08469,0.706147
51.7995,1.09459,0.78504
51.9995,1.09966,0.825202
52.1995,1.09759,0.808813
52.3995,1.09038,0.751561
52.5995,1.08041,0.671796
52.7995,1.0694,0.582791
52.9995,1.06157,0.519005
53.1995,1.06003,0.506372
53.3995,1.06407,0.539425
53.5995,1.07306,0.612465
53.7995,1.08552,0.712775
53.9995,1.0968,0.802579
54.1995,1.10369,0.856963
54.3995,1.10571,0.87281
54.5995,1.10162,0.840643
54.7995,1.09224,0.766369
54.9995,1.08191,0.683814
55.1995,1.07355,0.61647
55.3995,1.06893,0.578984
55.5995,1.0708,0.594182
55.7995,1.07894,0.659929
55.9995,1.08976,0.746584
56.1995,1.10088,0.834813
56.3995,1.10983,0.905104
56.5995,1.11281,0.928444
56.7995,1.10945,0.902144
56.9995,1.10211,0.844532
57.1995,1.09226,0.766523
57.3995,1.08293,0.692021
57.5995,1.07859,0.657148
57.7995,1.08026,0.670563
57.9995,1.08681,0.723075
58.1995,1.09752,0.808221
58.3995,1.10912,0.899543
58.5995,1.11698,0.960898
58.7995,1.11975,0.982415
58.9995,1.11736,0.963848
59.1995,1.10958,0.903176
59.3995,1.09958,0.824544
59.5995,1.09188,0.763507
59.7995,1.08825,0.734581
59.9995,1.08994,0.748023
60.1995,1.09781,0.810553
60.3995,1.10887,0.897597
60.5994,1.11887,0.975591
60.7994,1.12592,1.03018
60.9994,1.12798,1.046
61.1994,1.12349,1.01142
61.3994,1.11509,0.946199
61.5994,1.10647,0.878805
61.7994,1.09969,0.825384
61.9994,1.09762,0.809037
62.1994,1.10228,0.845816
